"","id","mon","latitude","longitude","color_","date"
"1",1,6,39.4944664,-0.3296637,"yellow","2015-6-28"
"2",2,6,36.5597482,-4.6204166,"yellow","2015-6-28"
"3",3,6,36.5597482,-4.6204166,"yellow","2015-6-28"
"4",4,6,36.5597482,-4.6204166,"yellow","2015-6-28"
"5",5,6,36.7280208,-4.3134339,"yellow","2015-6-28"
"6",7,6,36.4600479,-6.1591314,"yellow","2015-6-28"
"7",8,6,40.3553973,-3.5533809,"yellow","2015-6-28"
"8",9,6,40.577122,-3.9357175,"yellow","2015-6-28"
"9",10,6,36.9486321,-4.4401565,"yellow","2015-6-28"
"10",11,6,40.9328583,-3.6253838,"yellow","2015-6-28"
"11",12,6,36.61188,-4.52772,"yellow","2015-6-28"
"12",13,6,41.3372395,2.0835543,"yellow","2015-6-28"
"13",14,6,41.4729604,1.6949916,"orange","2015-6-28"
"14",15,6,36.61188,-4.52772,"yellow","2015-6-28"
"15",16,6,43.3460916,-4.0255633,"yellow","2015-6-28"
"16",17,6,41.8087023,3.0040024,"orange","2015-6-28"
"17",18,6,43.4025019,-3.3093801,"yellow","2015-6-28"
"18",19,6,41.8087023,3.0040024,"orange","2015-6-28"
"19",20,6,43.3460916,-4.0255633,"yellow","2015-6-28"
"20",21,6,43.3460916,-4.0255633,"yellow","2015-6-28"
"21",22,6,41.4566058,1.6907874,"yellow","2015-6-28"
"22",23,6,41.1995937,1.528423,"yellow","2015-6-28"
"23",24,6,41.1912044,1.5221816,"yellow","2015-6-28"
"24",25,6,41.1783098,1.4921159,"yellow","2015-6-28"
"25",26,6,41.1783098,1.4921159,"yellow","2015-6-28"
"26",27,6,41.6145364,1.8373124,"red","2015-6-28"
"27",28,6,40.4659048,-3.805216,"yellow","2015-6-28"
"28",29,6,41.3854152,2.1045545,"yellow","2015-6-28"
"29",30,6,41.3798237,2.0850959,"red","2015-6-28"
"30",31,6,41.5770926,2.5222755,"orange","2015-6-28"
"31",32,6,28.0633747,-16.7081124,"yellow","2015-6-28"
"32",33,6,28.0633747,-16.7081124,"yellow","2015-6-28"
"33",34,6,28.0633747,-16.7081124,"yellow","2015-6-28"
"34",35,6,28.0633747,-16.7081124,"orange","2015-6-28"
"35",36,6,40.3162466,-3.8976107,"yellow","2015-6-27"
"36",37,6,40.5321335,-3.6205175,"yellow","2015-6-27"
"37",38,6,41.5120521,2.141059,"orange","2015-6-27"
"38",39,6,40.2556904,-4.0009757,"yellow","2015-6-27"
"39",40,6,43.3464349,-3.1606225,"yellow","2015-6-27"
"40",41,6,41.185649,1.5132429,"yellow","2015-6-27"
"41",42,6,37.2337383,-6.5116172,"yellow","2015-6-27"
"42",43,6,41.5507086,2.4260829,"yellow","2015-6-27"
"43",44,6,41.5507086,2.4260829,"yellow","2015-6-27"
"44",45,6,37.2337383,-6.5116172,"yellow","2015-6-27"
"45",46,6,41.5507086,2.4260829,"yellow","2015-6-27"
"46",47,6,37.105179,-6.5093227,"yellow","2015-6-27"
"47",48,6,37.2461528,-6.5166402,"yellow","2015-6-27"
"48",49,6,37.3612009,-6.291494,"yellow","2015-6-27"
"49",50,6,40.5229241,-3.8861692,"yellow","2015-6-27"
"50",51,6,37.3612009,-6.291494,"yellow","2015-6-27"
"51",52,6,37.3619419,-6.2692678,"yellow","2015-6-27"
"52",53,6,40.4795056,-3.8483964,"yellow","2015-6-27"
"53",54,6,40.2818652,-4.0047554,"orange","2015-6-26"
"54",55,6,38.4528981,-3.4971889,"yellow","2015-6-26"
"55",56,6,42.4716687,-6.0839365,"red","2015-6-26"
"56",57,6,42.4716687,-6.0839365,"red","2015-6-26"
"57",58,6,42.4716687,-6.0839365,"red","2015-6-26"
"58",59,6,37.3571234,-6.0029292,"yellow","2015-6-26"
"59",60,6,41.4790608,1.8892521,"orange","2015-6-26"
"60",61,6,40.71354,-4.18928,"yellow","2015-6-26"
"61",62,6,39.4466459,-0.4043336,"yellow","2015-6-26"
"62",63,6,37.3438036,-5.9870987,"yellow","2015-6-26"
"63",64,6,37.3722765,-6.022914,"yellow","2015-6-26"
"64",65,6,41.904925,2.2482986,"red","2015-6-26"
"65",66,6,40.36478,-3.72068,"yellow","2015-6-26"
"66",67,6,40.4212652,-3.6016447,"yellow","2015-6-26"
"67",68,6,36.5096588,-6.2410163,"yellow","2015-6-26"
"68",69,6,37.3543933,-5.9461792,"yellow","2015-6-26"
"69",70,6,40.4583689,-3.6178727,"yellow","2015-6-26"
"70",71,6,40.4583689,-3.6178727,"yellow","2015-6-26"
"71",72,6,40.5562682,-3.7104557,"yellow","2015-6-26"
"72",73,6,40.4650535,-3.6254226,"yellow","2015-6-26"
